T(K),Na2O,MgO,Al2O3,SiO2,K2O,CaO,TiO2,MnO,FeO,Fe2O3,GAMMA
1633,0.064886101,0.085889178,0.181557011,0.524662819,0.012968853,0.073520345,0.004930174,0.001016024,0.014007017,0.035463919,1.063770862
1633,0.035620843,0.101467297,0.115745448,0.394807149,0.034617041,0.15827388,0.043205919,0.002319636,0.020476195,0.092436561,0.683695472
1633,0.065424755,0.083546668,0.152067364,0.373079088,0.023292541,0.180366145,0.021011218,0.003006884,0.015765032,0.076992576,0.611827798
1633,0.043769056,0.090169795,0.151882642,0.483386435,0.014215218,0.099370794,0.023029402,0.001453472,0.024331532,0.066768586,1.002441996
1731,0.045334094,0.099000851,0.152506382,0.482961048,0.004358071,0.105665933,0.013618214,0.001765494,0.032715798,0.061804411,1.019733726
1731,0.063986392,0.087057041,0.181071732,0.52592371,0.011957741,0.073006696,0.005109468,0.001010285,0.018749099,0.031062283,1.076312212
1731,0.049823089,0.087023089,0.152440134,0.391699953,0.011894096,0.184934356,0.021738079,0.003088836,0.024012994,0.072183059,0.684642323
1731,0.026525302,0.105299724,0.118894269,0.405620848,0.021397266,0.162682158,0.043960137,0.002252811,0.029989388,0.083115794,0.763213662
1731,0.042489602,0.088291166,0.155300422,0.490346702,0.00746519,0.100554969,0.023641761,0.00137915,0.030436965,0.059603727,1.046672065
1710,0.049194581,0.097306147,0.154757053,0.478564149,0.002300382,0.108219556,0.013405997,0.001364416,0.027029485,0.067858234,1.000789498
1661,0.048840916,0.096194571,0.155469355,0.480403654,0.002301016,0.108351027,0.01348102,0.001364792,0.022372669,0.07122098,1.004972615
1758,0.0448066,0.095172537,0.157247917,0.482150358,0.002067514,0.108299079,0.013609686,0.001370566,0.035328477,0.059947266,1.028860352
1808,0.044600149,0.096298697,0.155519313,0.484480593,0.002057988,0.108409696,0.013475679,0.001364251,0.033980338,0.059813297,1.031047561
1857,0.042595951,0.097612661,0.155796348,0.483794532,0.0019376,0.108650495,0.013694317,0.001364724,0.040553365,0.054000007,1.03993626
1908,0.040765164,0.096933074,0.154642395,0.48681944,0.001955466,0.110575507,0.013604642,0.001377307,0.044357851,0.048969153,1.045522536
